name,NEEM,NGRIP,GRIP,Renland,camp,DYE3,GISP2
GIS morphology 1,1.3993,1.2552,0.7849,-0.3429,-2.7935,-0.5149,0.9135
GIS morphology 2,3.6937,1.8427,1.3583,-0.1761,4.9552,3.1883,1.5778
GIS morphology 3,2.414,2.116,2.1518,-0.2159,1.1842,2.1151,2.6439
GIS morphology 4,2.1013,1.6481,1.1309,-0.24,-1.5284,1.3596,1.5173
GIS morphology 5,2.568,0.9441,0.2017,-0.491,2.1871,0.0543,0.3286
GIS morphology 6,-1.4804,-0.5707,0.3603,-0.5038,2.1115,2.2271,0.4791
GIS morphology 7,7.4451,4.7662,2.6076,-0.4977,6.5465,2.5841,2.7668
GIS morphology 8,0.823,0.4251,0.8946,-0.7773,4.5852,3.957,1.0813
GIS morphology 9,1.0553,0.9115,1.3962,-0.9257,-3.0959,-1.2541,1.2593
GIS morphology 10,-0.732,0.374,1.6249,0.1671,1.3233,5.2036,2.1988
GIS morphology 11,0.5987,0.9181,1.0487,-0.6701,1.0424,0.5088,0.984
GIS morphology 12,0.1116,0.195,0.946,-1.2629,8.9933,5.3094,1.2129
GIS morphology 13,1.5013,1.9706,1.3109,0.5062,-1.7124,1.1228,1.558
GIS morphology 14,3.8117,2.2117,1.915,-0.1729,0.6217,1.6173,1.6826
GIS morphology 15,4.8253,3.0537,2.2182,0.3142,4.3158,2.5159,2.7415
GIS morphology 16,3.7999,2.1301,0.6964,-0.8584,3.6612,1.2102,0.7464
GIS morphology 17,1.7871,1.5096,1.9501,-0.9744,-0.7255,0.2381,2.2122
GIS morphology 18,5.5259,3.2079,2.3307,0.2477,1.2344,2.0856,2.524
GIS morphology 19,1.5114,1.0776,2.0183,0.1723,4.1952,4.3663,2.0996
GIS morphology 20,2.0008,1.4916,2.0688,-1.2433,-0.5589,1.3735,1.8611
GIS morphology 21,1.0325,0.4872,0.7447,-0.3079,4.3309,3.2418,1.2742
GIS morphology 22,7.017,3.5534,2.0744,-1.1429,5.5322,1.011,2.0005
GIS morphology 23,-0.7368,-0.2232,0.8681,0.5029,-3.0855,0.1003,0.9141
GIS morphology 24,3.2092,2.9588,1.1335,-0.4944,-1.0681,1.4982,1.697
GIS morphology 25,-0.979,-0.2291,0.6288,-0.5938,-0.3885,2.7267,1.0004
GIS morphology 26,2.9629,1.9525,2.4434,-0.3426,4.3236,2.4552,2.9494
GIS morphology 27,-0.4269,-0.1347,0.7236,0.2989,1.4896,1.3189,0.8719
GIS morphology 28,5.8689,3.925,2.3504,0.0802,2.8898,2.2174,2.2804
GIS morphology 29,4.9996,4.0166,2.7516,-0.1621,0.2692,1.8171,3.1
GIS morphology 30,4.8766,2.5716,2.1682,-0.5956,4.0743,0.052,2.1557
GIS morphology 31,0.364,0.1559,0.1303,0.2073,2.0922,4.8708,0.7689
GIS morphology 32,3.7604,2.2,0.9645,-0.5237,2.995,0.3649,0.9511
GIS morphology 33,1.8147,1.1785,1.5057,-0.9608,2.5908,1.8388,1.3627
GIS morphology 34,4.9298,3.143,2.8921,-0.7667,2.5934,2.4061,3.2369
GIS morphology 35,1.3131,0.4034,0.609,-1.0781,3.4808,3.1842,1.0428
GIS morphology 36,1.3149,1.1911,1.0426,0.0619,1.5777,2.2192,1.4169
GIS morphology 37,1.0349,0.7526,1.9611,-0.6521,4.4204,4.208,1.9746
GIS morphology 38,-0.282,0.5123,2.288,0.2713,1.1811,2.6117,2.8504
GIS morphology 39,5.6852,2.3287,2.3097,-0.7378,6.7875,5.1118,2.4887
GIS morphology 40,0.4725,0.8082,0.9718,-0.4235,-1.894,-0.4789,1.2748
GIS morphology 41,0.4807,0.3853,1.3739,-0.372,2.0228,0.217,1.2263
GIS morphology 42,2.6331,2.0615,2.8943,-0.393,2.0834,2.3593,3.4841
GIS morphology 43,2.7861,0.7505,1.4091,-1.3845,5.4832,2.2289,1.3844
GIS morphology 44,0.1286,0.5584,1.1657,-0.0704,-0.7135,2.2913,1.5281
GIS morphology 45,4.2709,2.25,1.4221,-0.3992,4.8166,4.3097,1.8327
GIS morphology 46,4.7811,3.2217,2.5238,-1.2288,1.6194,0.8048,2.6776
GIS morphology 47,-0.564,0.5887,0.9738,0.5456,-1.1328,1.4416,1.0873
GIS morphology 48,1.4419,0.9673,0.5234,-0.7167,1.1891,1.6209,0.8377
GIS morphology 49,,,,,,,
GIS morphology 50,2.0347,1.6857,2.3736,-0.1706,2.6502,3.8841,3.0247
GIS morphology 51,2.4007,1.6358,2.3179,-0.1801,1.0082,1.1662,2.1526
GIS morphology 52,3.1007,1.5201,0.5682,-0.1646,5.4764,4.3105,1.2924
GIS morphology 53,-0.7585,-0.5521,0.9532,-0.6908,4.6704,3.6703,1.2265
GIS morphology 54,5.1312,2.5266,3.3466,-0.6937,4.3112,0.9568,3.1889
GIS morphology 55,-1.7239,-1.0051,-0.5166,-0.4549,1.8323,4.3438,-0.1468
GIS morphology 56,5.0349,3.2833,2.1613,0.1828,0.1386,1.703,2.2643
GIS morphology 57,0.5288,0.7191,0.6756,-0.1627,-0.6497,0.7336,0.8253
GIS morphology 58,4.8571,2.7273,2.1819,-0.6805,2.6711,0.4145,2.4072
GIS morphology 59,5.4621,3.1563,2.9161,-0.0711,4.6543,2.4449,3.1436
GIS morphology 60,0.7557,-0.1241,0.425,-0.5122,1.4285,2.3286,0.2862
GIS morphology 61,3.5136,3.168,2.0753,0.0868,2.6083,4.5978,2.7238
GIS morphology 62,,,,,,,
GIS morphology 63,4.923,1.7379,1.1096,-0.616,8.4599,5.451,1.4495
GIS morphology 64,1.3285,0.8924,1.6869,-0.8044,-0.5508,-0.7656,1.3505
GIS morphology 65,3.2201,2.8911,2.0693,0.0129,1.833,4.7253,2.6958
GIS morphology 66,2.0788,1.8186,1.6638,-0.3081,0.4823,1.6756,2.1484
GIS morphology 67,3.2104,1.7909,2.2681,-0.3898,4.6266,2.3408,2.8104
GIS morphology 68,2.3126,1.7003,2.1893,-0.4057,0.46,0.9675,2.104
GIS morphology 61b,2.9168,2.6511,1.8692,0.1721,2.3691,4.1354,2.4587
GIS morphology Best,2.9388,2.4326,1.9444,-0.1339,2.4207,4.7511,2.5906
GIS morphology Best2,3.0036,2.5975,2.1691,-0.0539,1.6298,4.6206,2.8315
